shoes,total_hands,initial_balance,strategy,card_counting,betting,wins[num],losses[num],ties[num],win_rate[num]%,winrate[balance]%,median,std,min_balance,max_balance,sharpe_like,brokes,broke_rate%,profit_count[num],profit_rate%,performance[sec]
26000,1138355,5000,stand17,dont,5p,473857,559321,105177,41.6264697743674,84.84684461538463,4088.0,1368.097402252945,1011,15748,-0.5538039674536911,0,0.0,6492,24.96923076923077,23.460
26000,1150561,5000,stand16,dont,5p,484874,567187,98500,42.142398360451985,85.40667384615385,4088.0,1395.2360358139733,1123,14247,-0.5229697979142464,0,0.0,6611,25.426923076923075,22.978
26000,1164026,5000,stand15,dont,5p,495129,576800,92097,42.53590555537419,85.50952615384615,4081.0,1410.7915239888687,1230,13535,-0.5135582968766187,0,0.0,6539,25.15,23.697
26000,1178750,5000,stand14,dont,5p,501508,591131,86111,42.54574761399788,84.11800307692307,4066.0,1386.7909301954785,1113,12926,-0.5726168443010456,0,0.0,5958,22.915384615384614,23.146
26000,1191007,5000,random,hilo,card_counting,384392,762076,44539,32.27453742925104,75.26626461538461,3966.0,811.8139824110583,764,7491,-1.5233622431063012,0,0.0,517,1.9884615384615385,22.781
26000,1117393,5000,stand19,hilo,card_counting,415493,634780,67120,37.18414201628254,84.39030846153847,4343.0,767.0500642976934,1021,12082,-1.0175145186092698,0,0.0,2561,9.85,23.720
26000,1126843,5000,stand18,hilo,card_counting,460292,580517,86034,40.84792646358011,90.92802538461538,4608.0,776.5245979810245,1063,12138,-0.5841395519840502,0,0.0,5867,22.565384615384616,23.535
26000,1138215,5000,stand17,hilo,card_counting,473382,560159,104674,41.58985780366627,93.38392538461538,4703.0,796.4801738346957,1221,12479,-0.4153320341629587,0,0.0,7458,28.684615384615388,23.614
26000,1150570,5000,stand16,hilo,card_counting,485903,566555,98112,42.231502646514336,94.09293846153847,4744.0,818.228372494346,1400,14804,-0.36096655512286996,0,0.0,7992,30.738461538461536,24.302
26000,1163777,5000,stand15,hilo,card_counting,494446,577376,91955,42.48631825512963,94.1532523076923,4747.0,816.9384575471063,1368,13032,-0.35784505174739895,0,0.0,8156,31.36923076923077,24.124
26000,1178925,5000,stand14,hilo,card_counting,501044,591776,86105,42.5000742201582,93.7586053846154,4716.0,820.3373563066381,1239,13881,-0.38041633526753676,0,0.0,7799,29.996153846153845,24.452
26000,1190920,5000,random,dont,10p,384438,761747,44735,32.28075773351694,22.98976846153846,906.0,822.8794281496348,91,12147,-4.679314423476982,0,0.0,109,0.41923076923076924,22.401
26000,1117159,5000,stand19,dont,10p,415905,634188,67066,37.228809865023685,42.759484615384615,1799.0,1481.3978259667376,167,27648,-1.9319764880598869,0,0.0,1165,4.480769230769231,22.433
26000,1126914,5000,stand18,dont,10p,459751,580373,86790,40.797345671453186,62.6978276923077,2514.0,2193.560440301736,226,30100,-0.8502654319969682,0,0.0,3644,14.015384615384615,23.087
26000,1138163,5000,stand17,dont,10p,474388,559006,104769,41.68014598963418,72.23223615384615,3012.0,2537.75387169357,275,50482,-0.5470933205122652,0,0.0,5152,19.815384615384616,22.875
26000,1150468,5000,stand16,dont,10p,485006,567394,98068,42.15727860314237,72.90124923076922,3012.0,2594.367080019476,245,37159,-0.5222613056173097,0,0.0,5189,19.957692307692305,23.430
26000,1163814,5000,stand15,dont,10p,494529,577564,91721,42.49209925297342,72.6246176923077,2984.0,2594.209788514432,199,36785,-0.5276246822615058,0,0.0,5098,19.607692307692307,23.172
26000,1179023,5000,stand14,dont,10p,500720,592539,85764,42.469061248169034,70.32202384615385,2741.0,2554.3216271925853,164,37155,-0.5809365554811661,0,0.0,4721,18.157692307692308,23.026
26000,1191098,5000,random,hilo,card_counting,384667,761668,44763,32.29515959224178,75.3012076923077,3968.0,812.5858745861343,712,7400,-1.5197650537718173,0,0.0,535,2.0576923076923075,23.795
26000,1117243,5000,stand19,hilo,card_counting,415646,634793,66804,37.20282874898299,84.34420230769231,4342.0,751.5251296059461,800,10678,-1.0416017426134934,0,0.0,2472,9.507692307692308,23.106
26000,1126856,5000,stand18,hilo,card_counting,459238,581277,86341,40.75392064292154,90.86217076923077,4607.0,766.7212968029576,1141,11951,-0.5959029225398966,0,0.0,5753,22.126923076923077,23.791
26000,1137865,5000,stand17,hilo,card_counting,473635,559077,105153,41.62488520167155,93.50390153846155,4704.0,789.4383238304254,1373,12370,-0.41143799746247484,0,0.0,7554,29.053846153846152,23.347
26000,1150512,5000,stand16,hilo,card_counting,485080,566954,98478,42.162098265815565,93.95594615384616,4741.0,810.6817422747635,1084,14424,-0.372775994016733,0,0.0,7884,30.323076923076925,23.668
26000,1163943,5000,stand15,hilo,card_counting,495089,577012,91842,42.5355021680615,94.25033846153846,4744.5,809.3606351072505,1130,15758,-0.3551977504873109,0,0.0,8016,30.830769230769228,24.498
26000,1179133,5000,stand14,hilo,card_counting,501389,592374,85370,42.52183595913269,93.73500230769231,4728.0,815.6712709627085,816,13848,-0.38403937439854524,0,0.0,7834,30.130769230769232,24.493
26000,1191026,5000,random,dont,15p,385370,760769,44887,32.356136641853325,11.028959230769232,328.0,714.105758452384,16,25127,-6.229542313315717,0,0.0,83,0.3192307692307692,23.032
26000,1117272,5000,stand19,dont,15p,414902,635232,67138,37.13527234191853,27.424753076923075,845.0,1638.3624525029986,32,41871,-2.2148715265111365,0,0.0,858,3.3000000000000003,22.570
26000,1126816,5000,stand18,dont,15p,460166,580315,86335,40.83772328401443,49.62191615384615,1542.0,3067.1622652687674,47,74929,-0.8212490812209987,0,0.0,2931,11.273076923076923,22.791
26000,1138253,5000,stand17,dont,15p,474429,558264,105560,41.680452412600715,61.64596538461539,1994.0,3753.9385889553582,25,86143,-0.5108505867441179,0,0.0,4261,16.388461538461538,23.125
26000,1150555,5000,stand16,dont,15p,485994,566436,98125,42.239962452903164,62.673504615384616,1995.0,3791.1168688373546,49,86168,-0.49228890424660704,0,0.0,4373,16.81923076923077,23.224
26000,1164234,5000,stand15,dont,15p,493211,578704,92319,42.363562651494455,60.98093307692307,1950.0,3724.874156077096,29,66649,-0.523763559359686,0,0.0,4032,15.507692307692308,23.968
26000,1178986,5000,stand14,dont,15p,501384,591174,86428,42.526713633580044,59.563426923076925,1905.0,3639.597851581609,21,88152,-0.5555088051740541,0,0.0,3907,15.026923076923076,23.815
26000,1190978,5000,random,hilo,card_counting,384267,761472,45239,32.26482772981532,75.30355615384615,3966.0,809.5685248278728,651,7880,-1.5252843390499093,0,0.0,544,2.0923076923076924,22.945
26000,1117213,5000,stand19,hilo,card_counting,415050,635142,67021,37.15048070511174,84.27228461538462,4342.5,766.2049069852234,887,12017,-1.0263387274886444,0,0.0,2485,9.557692307692307,23.547
26000,1127082,5000,stand18,hilo,card_counting,460349,579986,86747,40.84432188607395,90.97072615384614,4609.0,763.6070967535935,1016,13070,-0.5912251133168476,0,0.0,5832,22.430769230769233,23.471
26000,1137884,5000,stand17,hilo,card_counting,473803,558854,105227,41.638954410115616,93.53844846153847,4705.0,788.6915848646313,1266,13598,-0.4096374084915954,0,0.0,7606,29.25384615384615,23.637
26000,1150411,5000,stand16,hilo,card_counting,485077,567285,98049,42.165539098635186,93.9238723076923,4738.0,801.901207489156,1068,12327,-0.378857622083694,0,0.0,7857,30.21923076923077,24.207
26000,1164128,5000,stand15,hilo,card_counting,495199,577139,91790,42.538191676516675,94.23751307692308,4745.0,814.7495389523586,1196,13178,-0.3536354822910722,0,0.0,8107,31.18076923076923,23.805
26000,1178970,5000,stand14,hilo,card_counting,500702,592728,85540,42.46944366692961,93.60328538461539,4706.0,818.837173156644,823,13974,-0.3905974731658227,0,0.0,7820,30.07692307692308,24.371
